StudentID,marks,attempts
STD-0119,68.58,1
STD-0120,83.66,1
STD-0121,99.57,1
STD-0122,88.41,2
STD-0123,84.99,1
STD-0124,58.1,1
STD-0125,47.52,2
STD-0126,55.66,3
STD-0127,47.81,3
STD-0128,48.59,1
STD-0129,97.99,3
STD-0130,82.43,3
STD-0131,77.63,1
STD-0132,55.03,2
STD-0133,72.76,3
STD-0134,84.89,2
STD-0135,40.49,1
STD-0136,92.24,3
STD-0137,57.67,1
STD-0138,51.53,3
STD-0139,79.78,2
STD-0140,81.63,3
STD-0141,60.42,3
STD-0142,86.63,2
STD-0143,85.28,3
STD-0144,87.29,2
STD-0145,73.55,3
STD-0146,66.42,3
STD-0147,52.39,3
STD-0148,73.24,1
STD-0149,99.59,3
STD-0150,66.11,2
STD-0151,44.48,3
STD-0152,89.36,1
STD-0153,92.27,1
STD-0154,63.77,2
STD-0155,90.59,3
STD-0156,67.65,2
STD-0157,84.91,1
STD-0158,41.27,1
STD-0159,87.69,2
STD-0160,41.97,3
STD-0161,65.79,2
STD-0162,70.84,3
STD-0163,79.41,2
STD-0164,43.31,1
STD-0165,90.74,2
STD-0166,46.96,2
STD-0167,94.99,2
STD-0168,77.96,2
STD-0169,97.62,1
STD-0170,89.18,2
STD-0171,97.47,2
STD-0172,55.51,2
STD-0173,49.73,3
STD-0174,74.12,2
STD-0175,58.2,2
STD-0176,42.55,1
STD-0177,53.59,2
STD-0178,97.17,3
STD-0179,75.13,2
STD-0180,58.83,1
STD-0181,43.94,2
STD-0182,93.59,3
STD-0183,53.67,2
STD-0184,60.03,2
STD-0185,40.69,3
STD-0186,48.95,3
STD-0187,82.74,1
STD-0188,92.49,2
STD-0189,72.04,1
STD-0190,72.99,3
STD-0191,82.94,2
STD-0192,90.45,3
STD-0193,40.36,2
STD-0194,67.77,2
STD-0195,62.02,1
STD-0196,78.04,1
STD-0197,55.25,3
STD-0198,78.41,2
STD-0199,67.25,2
STD-0200,47.73,2
STD-0201,95.66,1
STD-0202,99.74,1
STD-0203,51.86,2
STD-0204,81.89,1
STD-0205,85.32,2
STD-0206,57.75,3
STD-0207,71.5,1
STD-0208,82.39,3
STD-0209,77.7,2
STD-0210,98.64,3
STD-0211,72.93,2
STD-0212,55.87,2
STD-0213,48.37,1
STD-0214,57.48,2
STD-0215,43.54,1
STD-0216,82.95,3
STD-0217,61.96,3
STD-0218,89.79,2
STD-0219,49.12,2
STD-0220,40.12,2
STD-0221,95.11,3
STD-0222,72.04,3
STD-0223,66.13,3
STD-0224,63.21,3
STD-0225,80.07,2
STD-0226,43.19,2
STD-0227,97.08,2
STD-0228,76.68,1
STD-0229,72.73,2
STD-0230,49.36,1
STD-0231,44.88,3
STD-0232,53.5,3
STD-0233,71.3,2
STD-0234,59.64,1
STD-0235,80.0,2
STD-0236,69.59,3
STD-0237,86.46,3
STD-0238,48.54,1
STD-0239,65.17,1
STD-0240,44.94,1
STD-0241,60.83,3
STD-0242,83.46,2
STD-0243,87.02,1
STD-0244,53.21,3
STD-0245,62.57,3
STD-0246,87.28,2
STD-0247,82.99,1
STD-0248,58.62,2
STD-0249,96.85,3
STD-0250,85.26,2
STD-0251,84.72,3
STD-0252,76.99,2
STD-0253,55.75,3
STD-0254,79.91,3
STD-0255,60.51,2
STD-0256,52.96,3
STD-0257,58.27,1
STD-0258,49.2,3
STD-0259,41.41,1
STD-0260,55.03,1
STD-0261,46.83,1
STD-0262,80.53,2
STD-0263,57.09,2
STD-0264,56.09,1
STD-0265,69.39,1
STD-0266,72.01,3
STD-0267,59.8,3
STD-0268,65.46,2
STD-0269,95.53,3
STD-0270,72.15,3
STD-0271,43.95,3
STD-0272,76.74,2
STD-0273,46.1,3
STD-0274,77.13,3
STD-0275,86.3,3
STD-0276,75.74,3
STD-0277,47.31,1
STD-0278,62.05,2
STD-0279,63.17,1
STD-0280,87.7,3
STD-0281,46.74,3
STD-0282,54.09,1
STD-0283,69.98,1
STD-0284,42.4,1
STD-0285,96.12,1
STD-0286,98.24,3
STD-0287,98.98,3
STD-0288,77.36,1
STD-0289,91.83,3
STD-0290,71.03,1
STD-0291,97.12,3
STD-0292,41.06,3
STD-0293,94.54,1
STD-0294,79.69,1
STD-0295,79.79,2
STD-0296,53.08,2
STD-0297,78.36,3
STD-0298,41.2,2
STD-0299,87.11,1
STD-0300,81.57,1
STD-0301,71.43,1
STD-0302,49.9,1
STD-0303,87.54,2
STD-0304,84.31,1
STD-0305,44.93,3
STD-0306,91.76,3
STD-0307,65.84,1
STD-0308,70.18,1
STD-0309,41.76,2
STD-0310,55.42,3
STD-0311,89.67,3
STD-0312,82.17,1
STD-0313,94.53,3
STD-0314,49.36,1
STD-0315,77.99,1
STD-0316,64.07,3
STD-0317,90.77,1
STD-0318,74.57,3
STD-0319,68.86,3
STD-0320,90.84,3
STD-0321,85.25,2
STD-0322,97.22,3
STD-0323,70.64,2
STD-0324,89.89,3
STD-0325,44.49,3
STD-0326,75.98,2
STD-0327,55.27,3
STD-0328,90.36,1
STD-0329,73.52,2
STD-0330,47.16,1
STD-0331,42.45,2
STD-0332,52.24,1
STD-0333,89.66,3
STD-0334,92.94,3
STD-0335,98.42,2
STD-0336,93.2,3
STD-0337,74.7,2
STD-0338,81.35,1
STD-0339,80.84,1
STD-0340,45.93,1
STD-0341,73.67,2
STD-0342,97.01,2
STD-0343,86.18,1
STD-0344,65.16,1
STD-0345,45.45,1
STD-0346,86.86,3
STD-0347,68.44,3
STD-0348,57.51,2
STD-0349,64.19,1
STD-0350,40.06,1
STD-0351,76.29,3
STD-0352,90.78,3
STD-0353,96.5,1
STD-0354,46.29,2
STD-0355,53.65,1
STD-0356,91.11,2
STD-0357,92.6,3
STD-0358,97.93,2
STD-0359,41.61,2
STD-0360,45.95,2
STD-0361,64.51,1
STD-0362,86.82,2
STD-0363,75.47,1
STD-0364,58.11,1
STD-0365,53.75,1
STD-0366,76.1,3
STD-0367,93.83,1
STD-0368,80.85,3
STD-0369,88.43,3
STD-0370,82.63,1
STD-0371,41.19,3
STD-0372,84.28,2
STD-0373,52.83,3
STD-0374,87.16,1
STD-0375,49.63,1
STD-0376,58.17,2
STD-0377,45.98,1
STD-0378,95.35,1
STD-0379,88.52,1
STD-0380,47.31,1
STD-0381,81.02,2
STD-0382,43.67,3
STD-0383,42.58,2
STD-0384,70.25,2
STD-0385,42.33,2
STD-0386,47.34,3
STD-0387,42.9,2
STD-0388,89.89,2
STD-0389,57.61,3
STD-0390,82.92,3
STD-0391,57.53,2
STD-0392,77.26,3
STD-0393,72.33,1
STD-0394,87.77,3
STD-0395,81.8,1
STD-0396,43.28,2
STD-0397,69.46,2
STD-0398,52.62,1
STD-0399,86.74,1
STD-0400,54.81,3
STD-0401,71.73,2
STD-0402,49.56,1
STD-0403,71.03,3
STD-0404,92.67,1
STD-0405,62.66,3
STD-0406,49.22,1
STD-0407,40.17,3
STD-0408,83.55,2
STD-0409,58.34,3
STD-0410,62.33,1
STD-0411,58.94,2
STD-0412,80.87,2
STD-0413,94.27,2
STD-0414,94.72,3
STD-0415,58.18,1
STD-0416,45.31,1
STD-0417,89.25,2
STD-0418,97.84,2
STD-0419,92.61,3
STD-0420,47.64,1
STD-0421,62.21,2
STD-0422,48.74,3
STD-0423,88.64,3
STD-0424,65.39,3
STD-0425,45.96,3
STD-0426,80.31,3
STD-0427,90.13,2
STD-0428,86.87,2
STD-0429,93.54,2
STD-0430,98.01,2
STD-0431,44.65,1
STD-0432,92.42,3
STD-0433,78.82,1
STD-0434,46.72,3
STD-0435,47.15,1
STD-0436,40.42,2
STD-0437,73.34,3
STD-0438,59.11,3
STD-0439,52.68,2
STD-0440,62.7,2
STD-0441,46.66,2
STD-0442,47.83,1
STD-0443,94.77,3
STD-0444,44.4,2
STD-0445,46.86,3
STD-0446,89.59,1
STD-0447,61.18,2
STD-0448,47.3,3
STD-0449,59.2,3
STD-0450,85.67,1
STD-0451,74.54,3
STD-0452,97.1,3
STD-0453,75.86,2
STD-0454,88.8,2
STD-0455,94.63,3
STD-0456,68.51,1
STD-0457,83.45,2
STD-0458,72.46,3
STD-0459,63.77,2
STD-0460,61.27,2
STD-0461,58.64,1
STD-0462,91.83,1
STD-0463,48.3,2
STD-0464,43.14,2
STD-0465,91.84,1
STD-0466,65.32,1
STD-0467,59.4,3
STD-0468,90.66,1
STD-0469,82.33,3
STD-0470,45.12,3
STD-0471,83.94,1
STD-0472,69.19,3
STD-0473,71.72,2
STD-0474,94.63,1
STD-0475,71.55,3
STD-0476,50.94,3
STD-0477,96.67,2
STD-0478,88.61,1
STD-0479,68.93,3
STD-0480,91.1,3
STD-0481,73.49,3
STD-0482,96.62,1
STD-0483,69.0,3
STD-0484,45.75,3
STD-0485,70.1,3
STD-0486,62.98,3
STD-0487,81.62,3
STD-0488,91.01,3
STD-0489,96.36,2
STD-0490,64.16,2
STD-0491,48.02,1
STD-0492,64.87,1
STD-0493,59.73,3
STD-0494,68.72,2
STD-0495,41.44,2
STD-0496,90.93,3
STD-0497,84.55,1
STD-0498,82.88,1
STD-0499,79.27,2
STD-0500,77.65,1
STD-0501,89.99,1
STD-0502,57.61,2
STD-0503,47.99,2
STD-0504,61.04,1
STD-0505,93.31,1
STD-0506,94.67,2
STD-0507,68.31,3
STD-0508,72.7,3
STD-0509,89.46,3
STD-0510,73.09,2
STD-0511,63.61,1
STD-0512,49.34,1
STD-0513,81.19,3
STD-0514,78.6,2
STD-0515,68.36,3
STD-0516,70.47,3
STD-0517,99.78,2
STD-0518,71.72,1
STD-0519,84.5,3
STD-0520,52.0,3
STD-0521,78.67,2
STD-0522,41.8,2
STD-0523,40.36,3
STD-0524,40.78,1
STD-0525,48.66,1
STD-0526,75.6,3
STD-0527,71.07,3
STD-0528,69.06,1
STD-0529,81.22,1
STD-0530,66.31,2
STD-0531,61.83,1
STD-0532,73.25,2
STD-0533,45.68,2
STD-0534,67.29,1
STD-0535,61.2,2
STD-0536,78.57,3
STD-0537,61.33,1
STD-0538,71.73,1
STD-0539,87.84,3
STD-0540,77.02,3
STD-0541,50.65,3
STD-0542,43.95,3
STD-0543,87.29,3
STD-0544,61.56,3
STD-0545,57.36,3
STD-0546,62.14,3
STD-0547,44.42,2
STD-0548,78.14,3
STD-0549,98.28,1
STD-0550,50.39,1
STD-0551,81.78,1
STD-0552,45.16,3
STD-0553,59.26,2
STD-0554,71.15,3
STD-0555,69.32,3
STD-0556,52.06,2
STD-0557,71.59,1
STD-0558,43.77,2
STD-0559,98.69,1
STD-0560,89.23,1
STD-0561,56.26,1
STD-0562,59.15,2
STD-0563,92.39,3
STD-0564,95.8,2
STD-0565,58.81,1
STD-0566,90.69,1
STD-0567,81.89,3
STD-0568,79.85,2
STD-0569,54.27,1
STD-0570,49.56,3
STD-0571,60.78,2
STD-0572,55.94,3
STD-0573,48.92,2
STD-0574,72.39,3
STD-0575,77.28,1
STD-0576,96.19,1
STD-0577,91.22,2
STD-0578,76.16,2
STD-0579,44.05,1
STD-0580,88.11,3
STD-0581,53.94,2
STD-0582,71.39,1
STD-0583,47.21,3
STD-0584,81.69,1
STD-0585,63.79,1
STD-0586,81.21,3
STD-0587,94.91,2
STD-0588,62.48,1
STD-0589,97.62,3
STD-0590,60.78,2
STD-0591,43.16,1
STD-0592,41.11,1
STD-0593,59.09,1
STD-0594,85.37,2
STD-0595,74.96,3
STD-0596,49.99,1
STD-0597,48.08,3
STD-0598,71.27,2
STD-0599,85.06,1
STD-0600,40.68,2
STD-0601,49.5,1
STD-0602,41.67,3
STD-0603,63.69,1
STD-0604,94.54,1
STD-0605,49.79,2
STD-0606,93.52,3
STD-0607,60.19,3
STD-0608,60.78,1
STD-0609,80.84,2
STD-0610,90.67,1
STD-0611,81.72,3
STD-0612,52.35,3
STD-0613,68.92,3
STD-0614,51.26,1
STD-0615,97.38,1
STD-0616,57.85,1
STD-0617,66.87,1
STD-0618,84.41,3
STD-0619,49.06,1
STD-0620,91.6,3
STD-0621,60.04,3
STD-0622,95.46,1
STD-0623,79.14,2
STD-0624,96.74,3
STD-0625,41.81,2
STD-0626,43.24,1
STD-0627,41.23,3
STD-0628,85.73,1
STD-0629,52.4,3
STD-0630,59.87,1
STD-0631,42.49,2
STD-0632,70.53,1
STD-0633,64.78,3
STD-0634,56.25,3
STD-0635,52.33,3
STD-0636,59.66,3
STD-0637,92.32,2
STD-0638,45.12,2
STD-0639,66.04,3
STD-0640,94.28,3
STD-0641,54.85,2
STD-0642,57.14,1
STD-0643,41.61,2
STD-0644,47.22,1
STD-0645,95.71,1
STD-0646,75.03,2
STD-0647,95.93,1
STD-0648,63.91,1
STD-0649,75.56,3
STD-0650,54.44,3
STD-0651,52.94,2
STD-0652,75.24,1
STD-0653,78.05,3
STD-0654,67.67,3
STD-0655,89.62,2
STD-0656,72.76,3
STD-0657,52.14,3
STD-0658,94.86,3
STD-0659,56.23,2
STD-0660,53.15,1
STD-0661,84.68,1
STD-0662,43.83,1
STD-0663,44.26,3
STD-0664,88.42,1
STD-0665,78.16,1
STD-0666,99.76,3
STD-0667,94.59,1
STD-0668,78.63,1
STD-0669,58.96,1
STD-0670,76.84,2
STD-0671,62.6,1
STD-0672,50.94,1
STD-0673,71.03,1
STD-0674,69.66,2
STD-0675,45.37,2
STD-0676,54.58,1
STD-0677,92.17,3
STD-0678,74.18,2
STD-0679,81.45,1
STD-0680,60.89,1
STD-0681,47.01,3
STD-0682,45.04,1
STD-0683,97.46,3
STD-0684,74.61,2
STD-0685,79.91,3
STD-0686,71.58,1
STD-0687,64.03,3
STD-0688,65.21,1
STD-0689,94.6,1
STD-0690,79.55,3
STD-0691,52.25,2
STD-0692,54.43,2
STD-0693,53.0,1
STD-0694,61.86,2
STD-0695,56.46,3
STD-0696,62.72,3
STD-0697,61.98,2
STD-0698,82.52,2
STD-0699,52.21,1
STD-0700,90.66,3
STD-0701,85.37,1
STD-0702,43.54,1
STD-0703,91.79,2
STD-0704,72.63,2
STD-0705,52.37,1
STD-0706,94.85,2
STD-0707,53.73,1
STD-0708,66.46,3
STD-0709,67.07,2
STD-0710,49.68,2
STD-0711,73.38,3
STD-0712,94.73,1
STD-0713,44.62,3
STD-0714,71.05,3
STD-0715,99.85,1
STD-0716,55.51,2
STD-0717,95.75,2
STD-0718,44.64,3
STD-0719,84.71,3
STD-0720,56.7,1
STD-0721,64.67,2
STD-0722,89.06,1
STD-0723,81.51,1
STD-0724,56.13,1
STD-0725,97.01,2
STD-0726,56.17,1
STD-0727,45.9,2
STD-0728,67.16,1
STD-0729,82.69,3
STD-0730,46.57,2
STD-0731,61.63,2
STD-0732,78.66,3
STD-0733,92.5,1
STD-0734,76.85,3
STD-0735,75.52,3
STD-0736,89.77,1
STD-0737,54.25,3
STD-0738,54.83,3
STD-0739,73.02,2
STD-0740,60.33,3
STD-0741,48.55,2
STD-0742,83.64,1
STD-0743,69.65,1
STD-0744,61.65,1
STD-0745,53.87,3
STD-0746,64.24,2
STD-0747,89.5,2
STD-0748,42.38,1
STD-0749,52.88,3
STD-0750,82.79,1
STD-0751,86.66,3
STD-0752,79.37,3
STD-0753,64.27,1
STD-0754,53.65,2
STD-0755,66.86,2
STD-0756,42.73,1
STD-0757,98.92,1
STD-0758,44.44,1
STD-0759,42.82,3
STD-0760,73.96,1
STD-0761,89.85,2
STD-0762,80.74,3
STD-0763,44.64,1
STD-0764,81.9,1
STD-0765,56.79,1
STD-0766,79.73,1
STD-0767,79.47,2
STD-0768,66.51,3
STD-0769,74.36,2
STD-0770,68.52,3
STD-0771,55.08,3
STD-0772,50.86,3
STD-0773,74.17,2
STD-0774,93.51,3
STD-0775,83.42,1
STD-0776,87.9,3
STD-0777,94.33,1
STD-0778,57.01,3
STD-0779,55.54,3
STD-0780,59.5,3
STD-0781,71.11,3
STD-0782,60.39,3
STD-0783,72.44,1
STD-0784,76.63,2
STD-0785,60.69,3
STD-0786,61.17,1
STD-0787,71.61,2
STD-0788,45.77,3
STD-0789,72.45,2
STD-0790,45.51,3
STD-0791,50.39,3
STD-0792,65.01,1
STD-0793,76.59,3
STD-0794,42.88,2
STD-0795,57.99,1
STD-0796,95.6,2
STD-0797,47.88,1
STD-0798,49.58,2
STD-0799,43.59,1
STD-0800,91.58,3
STD-0801,93.33,2
STD-0802,62.64,3
STD-0803,79.73,2
STD-0804,60.97,3
STD-0805,49.37,3
STD-0806,75.93,2
STD-0807,58.03,3
STD-0808,78.03,1
STD-0809,62.43,2
STD-0810,65.05,3
STD-0811,73.06,1
STD-0812,46.78,1
STD-0813,82.73,2
STD-0814,57.38,2
STD-0815,51.79,3
STD-0816,47.49,1
STD-0817,46.5,2
STD-0818,75.18,2
STD-0819,54.18,3
STD-0820,52.19,1
STD-0821,52.88,1
STD-0822,95.42,3
STD-0823,80.14,1
STD-0824,96.15,2
STD-0825,95.24,3
STD-0826,70.97,2
STD-0827,99.73,2
STD-0828,78.49,2
STD-0829,94.42,2
STD-0830,70.97,3
STD-0831,41.86,2
STD-0832,51.45,1
STD-0833,62.43,1
STD-0834,53.49,3
STD-0835,61.69,3
STD-0836,88.14,1
STD-0837,72.69,1
STD-0838,79.86,1
STD-0839,53.07,3
STD-0840,53.65,1
STD-0841,80.64,2
STD-0842,91.01,3
STD-0843,61.12,3
STD-0844,55.71,1
STD-0845,52.22,2
STD-0846,90.68,2
STD-0847,63.77,1
STD-0848,69.43,1
STD-0849,54.79,3
STD-0850,64.69,3
STD-0851,84.77,1
STD-0852,94.51,1
STD-0853,95.36,2
STD-0854,99.38,1
STD-0855,43.54,1
STD-0856,80.08,2
STD-0857,57.09,1
STD-0858,57.67,1
STD-0859,82.52,1
STD-0860,97.12,1
STD-0861,96.5,2
STD-0862,54.37,1
STD-0863,65.83,2
STD-0864,65.86,2
STD-0865,58.89,1
STD-0866,95.07,3
STD-0867,40.29,1
STD-0868,70.41,1
STD-0869,43.5,2
STD-0870,55.4,2
STD-0871,81.65,3
STD-0872,65.57,2
STD-0873,93.05,3
STD-0874,78.44,3
STD-0875,98.86,3
STD-0876,69.64,2
STD-0877,96.98,2
STD-0878,75.34,1
STD-0879,93.23,1
STD-0880,42.31,3
STD-0881,96.09,1
STD-0882,70.77,2
STD-0883,48.09,3
STD-0884,82.21,3
STD-0885,68.06,2
STD-0886,85.82,2
STD-0887,72.52,3
STD-0888,98.2,3
STD-0889,98.04,1
STD-0890,43.94,1
STD-0891,87.75,1
STD-0892,75.27,3
STD-0893,52.37,1
STD-0894,79.87,1
STD-0895,77.55,3
STD-0896,86.53,1
STD-0897,94.17,3
STD-0898,53.51,3
STD-0899,65.01,2
STD-0900,40.33,3
STD-0901,86.96,1
STD-0902,48.17,3
STD-0903,68.32,1
STD-0904,79.05,3
STD-0905,99.8,2
STD-0906,52.46,1
STD-0907,45.79,1
STD-0908,87.97,1
STD-0909,44.92,2
STD-0910,71.82,1
STD-0911,67.73,2
STD-0912,51.37,1
STD-0913,49.34,3
STD-0914,49.88,3
STD-0915,86.65,3
STD-0916,97.37,1
STD-0917,89.26,1
STD-0918,54.77,3
STD-0919,91.96,1
STD-0920,96.14,2
STD-0921,71.44,3
STD-0922,59.0,2
STD-0923,51.91,1
STD-0924,47.06,3
STD-0925,42.01,2
STD-0926,51.05,2
STD-0927,40.82,2
STD-0928,79.02,2
STD-0929,83.54,2
STD-0930,96.11,3
STD-0931,59.42,3
STD-0932,59.12,2
STD-0933,67.07,2
STD-0934,46.6,3
STD-0935,66.49,1
STD-0936,88.69,2
STD-0937,69.68,2
STD-0938,49.81,1
STD-0939,52.93,1
STD-0940,87.83,2
STD-0941,41.8,1
STD-0942,84.2,3
STD-0943,82.2,2
STD-0944,58.09,1
STD-0945,75.1,2
STD-0946,86.41,1
STD-0947,66.39,2
STD-0948,48.94,2
STD-0949,41.89,3
STD-0950,79.28,3
STD-0951,59.39,1
STD-0952,66.87,3
STD-0953,65.85,1
STD-0954,72.43,2
STD-0955,69.97,2
STD-0956,70.12,3
STD-0957,78.95,3
STD-0958,62.58,3
STD-0959,87.91,2
STD-0960,73.95,2
STD-0961,43.85,1
STD-0962,40.75,1
STD-0963,93.87,3
STD-0964,67.89,1
STD-0965,97.43,1
STD-0966,95.35,2
STD-0967,46.92,2
STD-0968,56.46,2
STD-0969,98.11,3
STD-0970,82.65,3
STD-0971,49.06,2
STD-0972,77.04,1
STD-0973,97.21,3
STD-0974,50.71,3
STD-0975,78.65,3
STD-0976,78.8,1
STD-0977,90.07,1
STD-0978,68.01,2
STD-0979,93.22,2
STD-0980,74.27,1
STD-0981,49.02,2
STD-0982,47.12,2
STD-0983,95.66,3
STD-0984,54.36,2
STD-0985,78.06,3
STD-0986,40.08,1
STD-0987,66.46,1
STD-0988,70.03,1
STD-0989,57.62,1
STD-0990,43.88,1
STD-0991,77.62,1
STD-0992,81.72,2
STD-0993,71.95,2
STD-0994,60.05,3
STD-0995,78.21,1
STD-0996,40.54,2
STD-0997,56.74,1
STD-0998,77.71,3
STD-0999,49.02,3
STD-1000,55.15,3
