StudentID,fees_due
STD-0257,0
STD-0258,10000
STD-0259,0
STD-0260,10000
STD-0261,30000
STD-0262,10000
STD-0263,20000
STD-0264,10000
STD-0265,30000
STD-0266,0
STD-0267,30000
STD-0268,20000
STD-0269,10000
STD-0270,20000
STD-0271,30000
STD-0272,0
STD-0273,10000
STD-0274,0
STD-0275,30000
STD-0276,30000
STD-0277,10000
STD-0278,10000
STD-0279,10000
STD-0280,30000
STD-0281,20000
STD-0282,30000
STD-0283,0
STD-0284,20000
STD-0285,0
STD-0286,0
STD-0287,10000
STD-0288,10000
STD-0289,30000
STD-0290,0
STD-0291,10000
STD-0292,20000
STD-0293,20000
STD-0294,20000
STD-0295,10000
STD-0296,20000
STD-0297,30000
STD-0298,30000
STD-0299,10000
STD-0300,10000
STD-0301,20000
STD-0302,20000
STD-0303,30000
STD-0304,20000
STD-0305,20000
STD-0306,30000
STD-0307,30000
STD-0308,20000
STD-0309,0
STD-0310,20000
STD-0311,10000
STD-0312,0
STD-0313,30000
STD-0314,10000
STD-0315,0
STD-0316,20000
STD-0317,20000
STD-0318,0
STD-0319,0
STD-0320,10000
STD-0321,30000
STD-0322,0
STD-0323,10000
STD-0324,30000
STD-0325,0
STD-0326,10000
STD-0327,20000
STD-0328,30000
STD-0329,20000
STD-0330,0
STD-0331,10000
STD-0332,20000
STD-0333,10000
STD-0334,20000
STD-0335,30000
STD-0336,0
STD-0337,0
STD-0338,20000
STD-0339,0
STD-0340,20000
STD-0341,30000
STD-0342,30000
STD-0343,30000
STD-0344,0
STD-0345,0
STD-0346,20000
STD-0347,0
STD-0348,30000
STD-0349,0
STD-0350,10000
STD-0351,0
STD-0352,30000
STD-0353,10000
STD-0354,20000
STD-0355,0
STD-0356,10000
STD-0357,30000
STD-0358,20000
STD-0359,10000
STD-0360,10000
STD-0361,10000
STD-0362,10000
STD-0363,20000
STD-0364,0
STD-0365,0
STD-0366,10000
STD-0367,20000
STD-0368,20000
STD-0369,30000
STD-0370,20000
STD-0371,0
STD-0372,20000
STD-0373,20000
STD-0374,10000
STD-0375,10000
STD-0376,20000
STD-0377,20000
STD-0378,0
STD-0379,30000
STD-0380,10000
STD-0381,0
STD-0382,30000
STD-0383,20000
STD-0384,20000
STD-0385,10000
STD-0386,10000
STD-0387,0
STD-0388,0
STD-0389,20000
STD-0390,20000
STD-0391,0
STD-0392,20000
STD-0393,20000
STD-0394,30000
STD-0395,20000
STD-0396,0
STD-0397,30000
STD-0398,30000
STD-0399,10000
STD-0400,0
STD-0401,10000
STD-0402,30000
STD-0403,20000
STD-0404,20000
STD-0405,10000
STD-0406,30000
STD-0407,0
STD-0408,0
STD-0409,0
STD-0410,0
STD-0411,10000
STD-0412,10000
STD-0413,30000
STD-0414,10000
STD-0415,20000
STD-0416,10000
STD-0417,0
STD-0418,10000
STD-0419,20000
STD-0420,0
STD-0421,20000
STD-0422,20000
STD-0423,20000
STD-0424,0
STD-0425,30000
STD-0426,0
STD-0427,10000
STD-0428,30000
STD-0429,10000
STD-0430,30000
STD-0431,30000
STD-0432,10000
STD-0433,0
STD-0434,0
STD-0435,20000
STD-0436,0
STD-0437,20000
STD-0438,0
STD-0439,20000
STD-0440,30000
STD-0441,30000
STD-0442,20000
STD-0443,30000
STD-0444,30000
STD-0445,20000
STD-0446,20000
STD-0447,20000
STD-0448,20000
STD-0449,20000
STD-0450,0
STD-0451,0
STD-0452,0
STD-0453,0
STD-0454,10000
STD-0455,20000
STD-0456,0
STD-0457,20000
STD-0458,20000
STD-0459,10000
STD-0460,0
STD-0461,30000
STD-0462,20000
STD-0463,30000
STD-0464,30000
STD-0465,20000
STD-0466,10000
STD-0467,20000
STD-0468,20000
STD-0469,0
STD-0470,10000
STD-0471,0
STD-0472,0
STD-0473,30000
STD-0474,20000
STD-0475,0
STD-0476,0
STD-0477,30000
STD-0478,30000
STD-0479,10000
STD-0480,0
STD-0481,20000
STD-0482,10000
STD-0483,10000
STD-0484,0
STD-0485,30000
STD-0486,10000
STD-0487,30000
STD-0488,30000
STD-0489,30000
STD-0490,30000
STD-0491,30000
STD-0492,20000
STD-0493,20000
STD-0494,10000
STD-0495,30000
STD-0496,10000
STD-0497,10000
STD-0498,10000
STD-0499,0
STD-0500,30000
STD-0501,20000
STD-0502,10000
STD-0503,30000
STD-0504,30000
STD-0505,10000
STD-0506,0
STD-0507,20000
STD-0508,10000
STD-0509,10000
STD-0510,30000
STD-0511,0
STD-0512,20000
STD-0513,0
STD-0514,0
STD-0515,30000
STD-0516,20000
STD-0517,10000
STD-0518,0
STD-0519,20000
STD-0520,10000
STD-0521,20000
STD-0522,0
STD-0523,20000
STD-0524,30000
STD-0525,10000
STD-0526,0
STD-0527,20000
STD-0528,20000
STD-0529,20000
STD-0530,20000
STD-0531,30000
STD-0532,0
STD-0533,0
STD-0534,20000
STD-0535,30000
STD-0536,20000
STD-0537,10000
STD-0538,0
STD-0539,0
STD-0540,20000
STD-0541,20000
STD-0542,30000
STD-0543,20000
STD-0544,20000
STD-0545,10000
STD-0546,10000
STD-0547,0
STD-0548,0
STD-0549,0
STD-0550,10000
STD-0551,30000
STD-0552,20000
STD-0553,0
STD-0554,20000
STD-0555,20000
STD-0556,0
STD-0557,10000
STD-0558,0
STD-0559,0
STD-0560,0
STD-0561,0
STD-0562,10000
STD-0563,30000
STD-0564,10000
STD-0565,10000
STD-0566,30000
STD-0567,10000
STD-0568,30000
STD-0569,10000
STD-0570,20000
STD-0571,30000
STD-0572,20000
STD-0573,10000
STD-0574,20000
STD-0575,10000
STD-0576,20000
STD-0577,0
STD-0578,10000
STD-0579,30000
STD-0580,20000
STD-0581,10000
STD-0582,20000
STD-0583,10000
STD-0584,0
STD-0585,20000
STD-0586,0
STD-0587,10000
STD-0588,10000
STD-0589,30000
STD-0590,0
STD-0591,0
STD-0592,30000
STD-0593,10000
STD-0594,30000
STD-0595,10000
STD-0596,30000
STD-0597,20000
STD-0598,20000
STD-0599,0
STD-0600,30000
STD-0601,20000
STD-0602,10000
STD-0603,30000
STD-0604,0
STD-0605,10000
STD-0606,10000
STD-0607,10000
STD-0608,30000
STD-0609,30000
STD-0610,20000
STD-0611,0
STD-0612,0
STD-0613,30000
STD-0614,10000
STD-0615,10000
STD-0616,0
STD-0617,10000
STD-0618,20000
STD-0619,30000
STD-0620,10000
STD-0621,30000
STD-0622,30000
STD-0623,30000
STD-0624,0
STD-0625,0
STD-0626,10000
STD-0627,0
STD-0628,10000
STD-0629,0
STD-0630,0
STD-0631,0
STD-0632,20000
STD-0633,30000
STD-0634,0
STD-0635,0
STD-0636,20000
STD-0637,20000
STD-0638,0
STD-0639,30000
STD-0640,0
STD-0641,0
STD-0642,20000
STD-0643,30000
STD-0644,30000
STD-0645,30000
STD-0646,30000
STD-0647,10000
STD-0648,20000
STD-0649,30000
STD-0650,20000
STD-0651,20000
STD-0652,30000
STD-0653,0
STD-0654,0
STD-0655,30000
STD-0656,30000
STD-0657,10000
STD-0658,0
STD-0659,10000
STD-0660,20000
STD-0661,20000
STD-0662,0
STD-0663,10000
STD-0664,20000
STD-0665,0
STD-0666,0
STD-0667,20000
STD-0668,20000
STD-0669,10000
STD-0670,20000
STD-0671,0
STD-0672,30000
STD-0673,30000
STD-0674,30000
STD-0675,0
STD-0676,10000
STD-0677,10000
STD-0678,10000
STD-0679,0
STD-0680,0
STD-0681,30000
STD-0682,30000
STD-0683,20000
STD-0684,0
STD-0685,10000
STD-0686,10000
STD-0687,10000
STD-0688,30000
STD-0689,10000
STD-0690,20000
STD-0691,20000
STD-0692,30000
STD-0693,20000
STD-0694,30000
STD-0695,30000
STD-0696,20000
STD-0697,0
STD-0698,30000
STD-0699,30000
STD-0700,30000
STD-0701,30000
STD-0702,10000
STD-0703,10000
STD-0704,20000
STD-0705,10000
STD-0706,20000
STD-0707,30000
STD-0708,10000
STD-0709,20000
STD-0710,0
STD-0711,10000
STD-0712,30000
STD-0713,0
STD-0714,30000
STD-0715,30000
STD-0716,30000
STD-0717,10000
STD-0718,20000
STD-0719,20000
STD-0720,20000
STD-0721,30000
STD-0722,10000
STD-0723,10000
STD-0724,20000
STD-0725,0
STD-0726,30000
STD-0727,10000
STD-0728,30000
STD-0729,10000
STD-0730,10000
STD-0731,20000
STD-0732,30000
STD-0733,10000
STD-0734,20000
STD-0735,30000
STD-0736,20000
STD-0737,20000
STD-0738,30000
STD-0739,30000
STD-0740,20000
STD-0741,20000
STD-0742,10000
STD-0743,0
STD-0744,20000
STD-0745,20000
STD-0746,0
STD-0747,30000
STD-0748,10000
STD-0749,10000
STD-0750,10000
STD-0751,30000
STD-0752,30000
STD-0753,30000
STD-0754,30000
STD-0755,0
STD-0756,0
STD-0757,0
STD-0758,10000
STD-0759,30000
STD-0760,20000
STD-0761,0
STD-0762,30000
STD-0763,0
STD-0764,0
STD-0765,10000
STD-0766,0
STD-0767,20000
STD-0768,0
STD-0769,30000
STD-0770,0
STD-0771,10000
STD-0772,10000
STD-0773,0
STD-0774,30000
STD-0775,30000
STD-0776,30000
STD-0777,20000
STD-0778,10000
STD-0779,30000
STD-0780,10000
STD-0781,30000
STD-0782,0
STD-0783,10000
STD-0784,0
STD-0785,0
STD-0786,10000
STD-0787,0
STD-0788,0
STD-0789,20000
STD-0790,10000
STD-0791,10000
STD-0792,0
STD-0793,20000
STD-0794,20000
STD-0795,30000
STD-0796,0
STD-0797,10000
STD-0798,0
STD-0799,10000
STD-0800,10000
STD-0801,10000
STD-0802,0
STD-0803,30000
STD-0804,10000
STD-0805,20000
STD-0806,10000
STD-0807,20000
STD-0808,20000
STD-0809,0
STD-0810,0
STD-0811,10000
STD-0812,0
STD-0813,30000
STD-0814,30000
STD-0815,20000
STD-0816,10000
STD-0817,20000
STD-0818,0
STD-0819,0
STD-0820,0
STD-0821,30000
STD-0822,30000
STD-0823,10000
STD-0824,0
STD-0825,30000
STD-0826,30000
STD-0827,10000
STD-0828,30000
STD-0829,0
STD-0830,30000
STD-0831,30000
STD-0832,30000
STD-0833,0
STD-0834,20000
STD-0835,20000
STD-0836,10000
STD-0837,10000
STD-0838,30000
STD-0839,0
STD-0840,30000
STD-0841,10000
STD-0842,30000
STD-0843,10000
STD-0844,30000
STD-0845,0
STD-0846,20000
STD-0847,10000
STD-0848,30000
STD-0849,20000
STD-0850,20000
STD-0851,10000
STD-0852,30000
STD-0853,0
STD-0854,10000
STD-0855,10000
STD-0856,30000
STD-0857,30000
STD-0858,10000
STD-0859,10000
STD-0860,30000
STD-0861,0
STD-0862,20000
STD-0863,30000
STD-0864,10000
STD-0865,10000
STD-0866,10000
STD-0867,20000
STD-0868,0
STD-0869,30000
STD-0870,10000
STD-0871,20000
STD-0872,30000
STD-0873,30000
STD-0874,20000
STD-0875,30000
STD-0876,30000
STD-0877,30000
STD-0878,30000
STD-0879,10000
STD-0880,10000
STD-0881,20000
STD-0882,0
STD-0883,0
STD-0884,10000
STD-0885,10000
STD-0886,0
STD-0887,0
STD-0888,20000
STD-0889,20000
STD-0890,10000
STD-0891,10000
STD-0892,10000
STD-0893,10000
STD-0894,30000
STD-0895,20000
STD-0896,20000
STD-0897,20000
STD-0898,20000
STD-0899,10000
STD-0900,20000
STD-0901,30000
STD-0902,30000
STD-0903,10000
STD-0904,30000
STD-0905,30000
STD-0906,20000
STD-0907,20000
STD-0908,0
STD-0909,0
STD-0910,10000
STD-0911,0
STD-0912,20000
STD-0913,20000
STD-0914,20000
STD-0915,10000
STD-0916,20000
STD-0917,10000
STD-0918,30000
STD-0919,0
STD-0920,10000
STD-0921,20000
STD-0922,10000
STD-0923,20000
STD-0924,10000
STD-0925,10000
STD-0926,10000
STD-0927,10000
STD-0928,0
STD-0929,0
STD-0930,20000
STD-0931,20000
STD-0932,20000
STD-0933,10000
STD-0934,0
STD-0935,10000
STD-0936,20000
STD-0937,20000
STD-0938,20000
STD-0939,10000
STD-0940,0
STD-0941,20000
STD-0942,30000
STD-0943,30000
STD-0944,30000
STD-0945,10000
STD-0946,0
STD-0947,30000
STD-0948,20000
STD-0949,30000
STD-0950,30000
STD-0951,20000
STD-0952,20000
STD-0953,0
STD-0954,30000
STD-0955,10000
STD-0956,30000
STD-0957,20000
STD-0958,20000
STD-0959,30000
STD-0960,30000
STD-0961,20000
STD-0962,20000
STD-0963,30000
STD-0964,10000
STD-0965,20000
STD-0966,30000
STD-0967,20000
STD-0968,0
STD-0969,20000
STD-0970,10000
STD-0971,30000
STD-0972,0
STD-0973,20000
STD-0974,20000
STD-0975,20000
STD-0976,20000
STD-0977,20000
STD-0978,30000
STD-0979,10000
STD-0980,30000
STD-0981,0
STD-0982,0
STD-0983,20000
STD-0984,30000
STD-0985,20000
STD-0986,0
STD-0987,10000
STD-0988,30000
STD-0989,10000
STD-0990,10000
STD-0991,30000
STD-0992,20000
STD-0993,0
STD-0994,10000
STD-0995,20000
STD-0996,30000
STD-0997,10000
STD-0998,20000
STD-0999,20000
STD-1000,20000
