StudentID,attendance
STD-0307,84.1
STD-0308,58.1
STD-0309,50.8
STD-0310,49.9
STD-0311,95.2
STD-0312,69.6
STD-0313,83.4
STD-0314,70.6
STD-0315,40.6
STD-0316,72.2
STD-0317,82.2
STD-0318,61.4
STD-0319,93.1
STD-0320,94.1
STD-0321,91.7
STD-0322,81.4
STD-0323,85.3
STD-0324,52.1
STD-0325,74.6
STD-0326,48.8
STD-0327,85.2
STD-0328,82.1
STD-0329,99.8
STD-0330,65.0
STD-0331,58.0
STD-0332,40.3
STD-0333,73.9
STD-0334,49.6
STD-0335,42.9
STD-0336,64.5
STD-0337,67.0
STD-0338,57.4
STD-0339,92.5
STD-0340,56.3
STD-0341,85.5
STD-0342,72.0
STD-0343,83.4
STD-0344,59.0
STD-0345,97.2
STD-0346,57.2
STD-0347,83.8
STD-0348,78.2
STD-0349,90.1
STD-0350,97.3
STD-0351,75.6
STD-0352,40.3
STD-0353,41.6
STD-0354,89.4
STD-0355,60.1
STD-0356,76.2
STD-0357,46.5
STD-0358,46.3
STD-0359,45.3
STD-0360,45.9
STD-0361,97.6
STD-0362,68.3
STD-0363,53.4
STD-0364,74.5
STD-0365,70.3
STD-0366,45.4
STD-0367,46.2
STD-0368,70.0
STD-0369,78.2
STD-0370,90.4
STD-0371,72.3
STD-0372,49.2
STD-0373,51.6
STD-0374,95.1
STD-0375,69.8
STD-0376,70.9
STD-0377,55.5
STD-0378,51.1
STD-0379,51.7
STD-0380,55.4
STD-0381,93.5
STD-0382,40.1
STD-0383,91.4
STD-0384,41.0
STD-0385,45.3
STD-0386,59.1
STD-0387,71.1
STD-0388,65.8
STD-0389,71.6
STD-0390,65.7
STD-0391,49.7
STD-0392,82.1
STD-0393,55.4
STD-0394,57.4
STD-0395,61.2
STD-0396,82.3
STD-0397,62.0
STD-0398,83.4
STD-0399,60.2
STD-0400,60.2
STD-0401,49.7
STD-0402,85.6
STD-0403,79.9
STD-0404,67.1
STD-0405,77.3
STD-0406,45.8
STD-0407,55.1
STD-0408,43.4
STD-0409,44.5
STD-0410,87.1
STD-0411,78.9
STD-0412,88.9
STD-0413,51.4
STD-0414,45.3
STD-0415,57.1
STD-0416,48.3
STD-0417,49.0
STD-0418,49.4
STD-0419,89.0
STD-0420,88.5
STD-0421,82.8
STD-0422,93.8
STD-0423,75.6
STD-0424,78.0
STD-0425,51.6
STD-0426,59.7
STD-0427,44.0
STD-0428,59.6
STD-0429,86.9
STD-0430,57.4
STD-0431,41.4
STD-0432,69.5
STD-0433,82.1
STD-0434,64.3
STD-0435,50.5
STD-0436,89.1
STD-0437,66.7
STD-0438,90.2
STD-0439,90.4
STD-0440,62.5
STD-0441,45.2
STD-0442,86.7
STD-0443,43.9
STD-0444,62.5
STD-0445,86.6
STD-0446,53.2
STD-0447,83.2
STD-0448,85.8
STD-0449,87.7
STD-0450,81.7
STD-0451,94.2
STD-0452,84.7
STD-0453,69.4
STD-0454,63.8
STD-0455,52.1
STD-0456,71.9
STD-0457,76.5
STD-0458,48.5
STD-0459,40.1
STD-0460,91.2
STD-0461,70.6
STD-0462,66.7
STD-0463,73.9
STD-0464,78.5
STD-0465,60.4
STD-0466,93.3
STD-0467,94.8
STD-0468,95.6
STD-0469,68.9
STD-0470,53.1
STD-0471,90.3
STD-0472,51.4
STD-0473,81.7
STD-0474,88.8
STD-0475,46.5
STD-0476,42.1
STD-0477,72.9
STD-0478,42.8
STD-0479,48.3
STD-0480,57.1
STD-0481,48.6
STD-0482,40.9
STD-0483,82.6
STD-0484,84.2
STD-0485,93.4
STD-0486,55.5
STD-0487,71.9
STD-0488,73.2
STD-0489,55.0
STD-0490,76.7
STD-0491,92.3
STD-0492,94.3
STD-0493,96.9
STD-0494,47.6
STD-0495,48.4
STD-0496,47.7
STD-0497,81.7
STD-0498,88.7
STD-0499,78.1
STD-0500,78.0
STD-0501,83.2
STD-0502,73.9
STD-0503,65.7
STD-0504,55.9
STD-0505,47.7
STD-0506,86.9
STD-0507,53.6
STD-0508,77.3
STD-0509,92.6
STD-0510,50.6
STD-0511,75.6
STD-0512,80.8
STD-0513,88.9
STD-0514,51.3
STD-0515,73.6
STD-0516,55.8
STD-0517,40.5
STD-0518,49.9
STD-0519,93.3
STD-0520,89.3
STD-0521,79.9
STD-0522,94.0
STD-0523,70.5
STD-0524,89.4
STD-0525,78.1
STD-0526,46.3
STD-0527,43.5
STD-0528,72.0
STD-0529,91.8
STD-0530,66.4
STD-0531,85.5
STD-0532,73.9
STD-0533,53.9
STD-0534,61.5
STD-0535,77.1
STD-0536,55.5
STD-0537,47.8
STD-0538,60.7
STD-0539,94.6
STD-0540,59.4
STD-0541,59.8
STD-0542,45.9
STD-0543,58.6
STD-0544,41.5
STD-0545,95.7
STD-0546,61.9
STD-0547,99.8
STD-0548,80.5
STD-0549,68.7
STD-0550,97.9
STD-0551,49.0
STD-0552,77.2
STD-0553,87.4
STD-0554,66.4
STD-0555,87.6
STD-0556,65.9
STD-0557,57.8
STD-0558,83.4
STD-0559,72.7
STD-0560,96.1
STD-0561,55.5
STD-0562,49.4
STD-0563,41.7
STD-0564,50.0
STD-0565,80.5
STD-0566,90.8
STD-0567,69.0
STD-0568,83.3
STD-0569,82.4
STD-0570,72.9
STD-0571,81.3
STD-0572,63.2
STD-0573,99.9
STD-0574,58.5
STD-0575,55.5
STD-0576,87.8
STD-0577,60.5
STD-0578,70.6
STD-0579,55.9
STD-0580,58.5
STD-0581,49.2
STD-0582,76.5
STD-0583,41.3
STD-0584,45.0
STD-0585,71.2
STD-0586,84.3
STD-0587,59.7
STD-0588,70.2
STD-0589,69.1
STD-0590,90.9
STD-0591,54.9
STD-0592,48.7
STD-0593,72.7
STD-0594,92.4
STD-0595,53.4
STD-0596,84.0
STD-0597,91.7
STD-0598,50.4
STD-0599,53.0
STD-0600,64.6
STD-0601,91.0
STD-0602,76.4
STD-0603,66.5
STD-0604,61.0
STD-0605,64.4
STD-0606,89.3
STD-0607,79.5
STD-0608,79.2
STD-0609,82.5
STD-0610,62.2
STD-0611,85.6
STD-0612,71.7
STD-0613,48.4
STD-0614,74.2
STD-0615,74.9
STD-0616,62.1
STD-0617,65.4
STD-0618,42.1
STD-0619,42.4
STD-0620,83.6
STD-0621,61.2
STD-0622,88.8
STD-0623,95.5
STD-0624,70.1
STD-0625,64.6
STD-0626,41.2
STD-0627,45.1
STD-0628,46.3
STD-0629,77.5
STD-0630,60.5
STD-0631,84.6
STD-0632,53.9
STD-0633,53.5
STD-0634,52.4
STD-0635,78.1
STD-0636,86.0
STD-0637,80.8
STD-0638,76.0
STD-0639,85.1
STD-0640,57.4
STD-0641,44.1
STD-0642,67.0
STD-0643,77.3
STD-0644,68.8
STD-0645,44.9
STD-0646,94.5
STD-0647,60.9
STD-0648,74.2
STD-0649,53.4
STD-0650,55.4
STD-0651,99.7
STD-0652,61.0
STD-0653,96.5
STD-0654,71.9
STD-0655,68.9
STD-0656,98.2
STD-0657,83.1
STD-0658,48.5
STD-0659,88.1
STD-0660,94.5
STD-0661,59.1
STD-0662,87.5
STD-0663,51.4
STD-0664,70.2
STD-0665,53.2
STD-0666,96.0
STD-0667,65.1
STD-0668,65.9
STD-0669,70.1
STD-0670,60.0
STD-0671,77.2
STD-0672,55.2
STD-0673,46.8
STD-0674,56.3
STD-0675,70.8
STD-0676,67.4
STD-0677,55.3
STD-0678,66.2
STD-0679,99.3
STD-0680,48.1
STD-0681,52.6
STD-0682,80.0
STD-0683,88.7
STD-0684,42.1
STD-0685,76.6
STD-0686,78.6
STD-0687,84.0
STD-0688,44.2
STD-0689,85.6
STD-0690,75.9
STD-0691,88.8
STD-0692,74.5
STD-0693,84.8
STD-0694,71.7
STD-0695,76.4
STD-0696,89.1
STD-0697,54.5
STD-0698,59.3
STD-0699,54.4
STD-0700,97.0
STD-0701,78.4
STD-0702,47.0
STD-0703,73.3
STD-0704,64.1
STD-0705,76.6
STD-0706,49.5
STD-0707,53.7
STD-0708,66.3
STD-0709,40.4
STD-0710,84.8
STD-0711,67.3
STD-0712,66.6
STD-0713,43.2
STD-0714,48.1
STD-0715,79.1
STD-0716,87.4
STD-0717,55.2
STD-0718,50.9
STD-0719,96.7
STD-0720,88.6
STD-0721,48.9
STD-0722,71.4
STD-0723,94.5
STD-0724,60.0
STD-0725,84.6
STD-0726,68.8
STD-0727,82.7
STD-0728,67.8
STD-0729,71.6
STD-0730,81.1
STD-0731,52.5
STD-0732,84.8
STD-0733,43.5
STD-0734,67.0
STD-0735,57.2
STD-0736,66.2
STD-0737,94.5
STD-0738,56.4
STD-0739,92.3
STD-0740,70.2
STD-0741,87.1
STD-0742,47.7
STD-0743,96.4
STD-0744,48.7
STD-0745,81.8
STD-0746,84.1
STD-0747,57.4
STD-0748,48.3
STD-0749,45.7
STD-0750,56.2
STD-0751,42.8
STD-0752,74.7
STD-0753,69.3
STD-0754,58.9
STD-0755,87.7
STD-0756,57.8
STD-0757,85.1
STD-0758,42.9
STD-0759,55.0
STD-0760,70.8
STD-0761,84.3
STD-0762,56.3
STD-0763,61.8
STD-0764,57.5
STD-0765,78.1
STD-0766,63.4
STD-0767,98.8
STD-0768,95.6
STD-0769,44.0
STD-0770,96.2
STD-0771,76.7
STD-0772,57.7
STD-0773,88.5
STD-0774,89.5
STD-0775,75.4
STD-0776,52.2
STD-0777,83.1
STD-0778,61.9
STD-0779,79.9
STD-0780,47.0
STD-0781,44.3
STD-0782,52.6
STD-0783,79.7
STD-0784,59.3
STD-0785,70.5
STD-0786,68.3
STD-0787,87.6
STD-0788,81.8
STD-0789,99.4
STD-0790,75.4
STD-0791,73.1
STD-0792,52.6
STD-0793,83.7
STD-0794,41.8
STD-0795,62.3
STD-0796,41.2
STD-0797,44.2
STD-0798,95.2
STD-0799,76.4
STD-0800,75.2
STD-0801,98.1
STD-0802,67.4
STD-0803,48.7
STD-0804,80.8
STD-0805,98.3
STD-0806,99.9
STD-0807,68.7
STD-0808,44.6
STD-0809,65.1
STD-0810,97.9
STD-0811,75.3
STD-0812,75.5
STD-0813,56.1
STD-0814,72.2
STD-0815,75.0
STD-0816,95.1
STD-0817,55.7
STD-0818,75.7
STD-0819,55.0
STD-0820,76.1
STD-0821,86.2
STD-0822,56.7
STD-0823,50.3
STD-0824,97.0
STD-0825,76.9
STD-0826,72.9
STD-0827,56.3
STD-0828,44.5
STD-0829,86.8
STD-0830,84.9
STD-0831,98.3
STD-0832,54.3
STD-0833,63.4
STD-0834,69.1
STD-0835,58.9
STD-0836,58.0
STD-0837,69.8
STD-0838,66.6
STD-0839,85.5
STD-0840,73.7
STD-0841,50.8
STD-0842,98.6
STD-0843,67.2
STD-0844,76.7
STD-0845,53.2
STD-0846,87.0
STD-0847,68.9
STD-0848,63.0
STD-0849,70.0
STD-0850,62.2
STD-0851,57.1
STD-0852,74.8
STD-0853,58.6
STD-0854,70.7
STD-0855,99.8
STD-0856,78.7
STD-0857,71.5
STD-0858,70.6
STD-0859,69.9
STD-0860,69.3
STD-0861,55.5
STD-0862,87.3
STD-0863,69.8
STD-0864,51.6
STD-0865,93.0
STD-0866,74.1
STD-0867,56.9
STD-0868,49.6
STD-0869,58.5
STD-0870,59.7
STD-0871,87.5
STD-0872,70.1
STD-0873,62.2
STD-0874,54.9
STD-0875,77.0
STD-0876,62.1
STD-0877,73.2
STD-0878,49.8
STD-0879,45.9
STD-0880,70.4
STD-0881,48.1
STD-0882,95.8
STD-0883,85.7
STD-0884,40.5
STD-0885,50.1
STD-0886,58.5
STD-0887,95.4
STD-0888,84.0
STD-0889,92.3
STD-0890,99.8
STD-0891,43.2
STD-0892,89.0
STD-0893,65.7
STD-0894,49.4
STD-0895,87.4
STD-0896,92.1
STD-0897,71.9
STD-0898,44.7
STD-0899,97.1
STD-0900,90.9
STD-0901,75.2
STD-0902,68.6
STD-0903,87.5
STD-0904,86.6
STD-0905,70.1
STD-0906,45.4
STD-0907,68.1
STD-0908,77.2
STD-0909,58.5
STD-0910,49.9
STD-0911,71.1
STD-0912,40.1
STD-0913,69.5
STD-0914,80.7
STD-0915,79.5
STD-0916,95.8
STD-0917,69.9
STD-0918,99.4
STD-0919,74.2
STD-0920,44.7
STD-0921,85.1
STD-0922,55.5
STD-0923,81.8
STD-0924,73.6
STD-0925,48.8
STD-0926,66.6
STD-0927,62.5
STD-0928,82.9
STD-0929,81.8
STD-0930,42.9
STD-0931,47.9
STD-0932,69.1
STD-0933,91.7
STD-0934,59.3
STD-0935,41.1
STD-0936,89.6
STD-0937,55.3
STD-0938,98.2
STD-0939,52.5
STD-0940,78.7
STD-0941,66.4
STD-0942,95.8
STD-0943,74.4
STD-0944,55.7
STD-0945,59.6
STD-0946,81.4
STD-0947,49.2
STD-0948,81.5
STD-0949,65.0
STD-0950,44.2
STD-0951,54.5
STD-0952,85.4
STD-0953,59.0
STD-0954,53.4
STD-0955,73.0
STD-0956,78.1
STD-0957,48.3
STD-0958,60.4
STD-0959,85.7
STD-0960,52.9
STD-0961,76.0
STD-0962,88.2
STD-0963,71.0
STD-0964,63.8
STD-0965,73.8
STD-0966,87.5
STD-0967,56.0
STD-0968,71.4
STD-0969,69.5
STD-0970,72.2
STD-0971,45.2
STD-0972,97.0
STD-0973,41.2
STD-0974,49.9
STD-0975,79.8
STD-0976,86.9
STD-0977,88.2
STD-0978,93.7
STD-0979,84.1
STD-0980,58.5
STD-0981,83.0
STD-0982,47.4
STD-0983,45.1
STD-0984,69.0
STD-0985,61.5
STD-0986,87.6
STD-0987,70.6
STD-0988,85.6
STD-0989,99.9
STD-0990,67.7
STD-0991,91.4
STD-0992,40.4
STD-0993,96.8
STD-0994,61.6
STD-0995,99.5
STD-0996,79.3
STD-0997,70.4
STD-0998,62.7
STD-0999,80.2
STD-1000,84.8
